count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
80295,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A755,A762,265400,554370,54.86594442,-4.09879624,7.5,4.66,Estimated,Estimated using previous year's AADF on this link,W,0,25,1812,47,692,88,26,17,21,112,177,441,3017
80296,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,B796,A755,260000,554650,54.86697613,-4.18300556,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,E,2,13,1537,17,566,111,24,20,11,109,129,405,2538
80296,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,B796,A755,260000,554650,54.86697613,-4.18300556,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,W,1,7,1553,11,576,90,33,12,11,99,141,386,2532
10888,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7077,A77,207140,557000,54.87048088,-5.00715094,0.9,0.56,Estimated,Estimated using previous year's AADF on this link,N,1,19,1102,13,244,34,10,5,0,9,6,63,1441
10888,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7077,A77,207140,557000,54.87048088,-5.00715094,0.9,0.56,Estimated,Estimated using previous year's AADF on this link,S,1,17,995,28,287,32,10,9,2,4,6,61,1388
1072,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A711,PA,Major,A762,A75,270200,554800,54.8710752,-4.02425155,6.2,3.85,Estimated,Estimated using previous year's AADF on this link,N,0,6,1245,19,401,82,53,9,2,8,13,166,1837
1072,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A711,PA,Major,A762,A75,270200,554800,54.8710752,-4.02425155,6.2,3.85,Estimated,Estimated using previous year's AADF on this link,S,0,5,1252,17,429,76,52,10,2,9,16,165,1867
50806,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,B7077,A716,206800,557200,54.87214445,-5.01257549,0.9,0.56,Estimated,Estimated using previous year's AADF on this link,N,4,6,1424,27,227,44,4,3,1,1,0,52,1736
50806,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,B7077,A716,206800,557200,54.87214445,-5.01257549,0.9,0.56,Estimated,Estimated using previous year's AADF on this link,S,4,8,1253,23,239,47,4,3,2,0,0,56,1579
30913,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A762,PA,Major,A711,A75,268570,555100,54.87334352,-4.04977126,3,1.86,Estimated,Estimated using previous year's AADF on this link,N,5,5,184,19,44,20,10,0,2,2,1,34,287
30913,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A762,PA,Major,A711,A75,268570,555100,54.87334352,-4.04977126,3,1.86,Estimated,Estimated using previous year's AADF on this link,S,3,6,170,20,67,17,5,5,2,0,0,30,294
80200,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,B7084,A747,220000,557110,54.8762622,-4.80708042,4.7,2.92,Estimated,Estimated using previous year's AADF on this link,E,0,27,1479,14,414,83,52,25,16,40,94,310,2244
80200,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,B7084,A747,220000,557110,54.8762622,-4.80708042,4.7,2.92,Estimated,Estimated using previous year's AADF on this link,W,1,26,1401,11,447,94,55,28,6,59,100,342,2226
20837,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,A716,"Ochtrelure Way, Stranraer",206600,558085,54.88000903,-5.01628129,2.3,1.43,Estimated,Estimated using previous year's AADF on this link,N,1,20,2445,28,464,71,8,13,0,4,11,107,3064
20837,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,A716,"Ochtrelure Way, Stranraer",206600,558085,54.88000903,-5.01628129,2.3,1.43,Estimated,Estimated using previous year's AADF on this link,S,1,20,2376,33,499,59,18,10,2,4,5,98,3025
1071,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A710,PA,Major,A711,"C-road, Sandyhills",284200,556500,54.88978371,-3.80689541,11,6.84,Estimated,Estimated using previous year's AADF on this link,E,9,5,934,8,235,19,4,2,2,4,0,30,1212
1071,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A710,PA,Major,A711,"C-road, Sandyhills",284200,556500,54.88978371,-3.80689541,11,6.84,Estimated,Estimated using previous year's AADF on this link,W,10,20,992,13,247,22,5,0,5,3,0,35,1307
30747,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A762,A762,268600,557000,54.8904145,-4.05017058,1.6,0.99,Estimated,Estimated using previous year's AADF on this link,N,1,37,2228,32,468,113,9,24,14,77,154,391,3155
30747,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A762,A762,268600,557000,54.8904145,-4.05017058,1.6,0.99,Estimated,Estimated using previous year's AADF on this link,S,1,47,2284,33,602,82,8,23,29,139,173,453,3419
10745,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A751,B7084,211700,559200,54.89196241,-4.93762805,8.4,5.22,Counted,Automatic counter,E,4,68,2219,73,707,130,31,27,32,76,83,380,3446
10745,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A751,B7084,211700,559200,54.89196241,-4.93762805,8.4,5.22,Counted,Automatic counter,W,3,28,2083,57,636,122,25,15,31,84,83,359,3163
78637,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,Ochtrelure Way,A718,206240,559750,54.89481105,-5.02300393,0.6,0.37,Estimated,Estimated from nearby links,C,3,45,5351,67,1069,145,29,26,2,8,18,227,6760
40838,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,A718,A75,206400,560400,54.90070604,-5.02094977,1,0.62,Estimated,Estimated using previous year's AADF on this link,N,10,12,1323,52,342,32,4,2,2,3,0,44,1772
40838,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,A718,A75,206400,560400,54.90070604,-5.02094977,1,0.62,Estimated,Estimated using previous year's AADF on this link,S,7,3,971,67,276,25,0,2,2,3,5,37,1353
740,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A762,A711,270000,558300,54.90245564,-4.02894575,3,1.86,Estimated,Estimated using previous year's AADF on this link,E,5,13,2415,46,645,126,29,45,20,104,130,454,3573
740,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A762,A711,270000,558300,54.90245564,-4.02894575,3,1.86,Estimated,Estimated using previous year's AADF on this link,W,0,13,2235,36,798,118,32,25,13,110,161,459,3541
40890,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A718,PA,Major,A77,A717,206000,560700,54.903243,-5.02738072,1,0.62,Estimated,Estimated using previous year's AADF on this link,N,17,14,3577,164,697,66,11,4,2,1,3,86,4537
40890,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A718,PA,Major,A77,A717,206000,560700,54.903243,-5.02738072,1,0.62,Estimated,Estimated using previous year's AADF on this link,S,14,18,2729,29,581,57,11,10,2,1,3,83,3440
20750,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A77,McMaster's Rd,206991,560703,54.90365378,-5.01194977,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,E,29,18,2360,56,291,48,6,10,10,3,7,85,2810
20750,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A77,McMaster's Rd,206991,560703,54.90365378,-5.01194977,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,W,17,41,2693,34,293,75,13,13,6,1,10,117,3179
10838,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,TA,Major,A75,A717,206627,560800,54.90438348,-5.01768359,0.2,0.12,Estimated,Estimated using previous year's AADF on this link,N,8,6,1030,54,305,49,14,7,10,34,20,133,1528
10838,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,TA,Major,A75,A717,206627,560800,54.90438348,-5.01768359,0.2,0.12,Estimated,Estimated using previous year's AADF on this link,S,4,6,1351,122,384,43,9,20,13,23,11,119,1982
81477,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A717,PA,Major,Ferry Terminal,A77,206500,560916,54.90537526,-5.0197394,0.2,0.12,Estimated,Estimated using previous year's AADF on this link,E,15,13,2506,77,409,51,18,3,1,13,34,121,3126
81477,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A717,PA,Major,Ferry Terminal,A77,206500,560916,54.90537526,-5.0197394,0.2,0.12,Estimated,Estimated using previous year's AADF on this link,W,9,14,2222,44,354,42,9,8,10,6,29,104,2739
81478,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A717,PA,Major,A718,Ferry Terminal,206035,560979,54.90576027,-5.02702367,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,E,10,23,3072,87,317,61,13,12,1,6,14,107,3605
81478,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A717,PA,Major,A718,Ferry Terminal,206035,560979,54.90576027,-5.02702367,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,W,15,23,2551,71,239,43,17,11,1,7,13,92,2976
20889,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A718,PA,Major,A717,B737 Leswalt High Road,205735,561004,54.90586803,-5.0317127,1.3,0.81,Estimated,Estimated using previous year's AADF on this link,E,17,20,1833,87,352,29,6,2,3,2,3,45,2337
20889,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A718,PA,Major,A717,B737 Leswalt High Road,205735,561004,54.90586803,-5.0317127,1.3,0.81,Estimated,Estimated using previous year's AADF on this link,W,18,11,1598,36,346,28,4,2,0,2,3,39,2030
78638,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,"McMaster's Rd, Stranraer",A751,208500,560910,54.90609217,-4.98858694,1.6,0.99,Counted,Automatic counter,E,4,23,2012,30,529,119,47,35,7,35,44,286,2880
